"season","week","manager_1","owner_id_1","score_1","result_1","manager_2","owner_id_2","score_2","result_2"
"2023","1","PhillyBooBird","559133018459394048","156.6","W","ComradeCMP","559210519766609920","133.06","L"
"2023","1","etmoyer","559135658332524544","97.32","W","jackpotFTW","559132295743279104","86.44","L"
"2023","1","Pnewport","694581224353632256","121.94","W","Mummanator","560265743531290624","89.36","L"
"2023","2","Danthecan","517079980760150016","123.12","L","PhillyBooBird","559133018459394048","127.22","W"
"2023","2","ekortman","559134002064789504","143.84","L","Mummanator","560265743531290624","149.58","W"
"2023","2","ComradeCMP","559210519766609920","158.2","W","THESMASH","559193893851738112","116.3","L"
"2023","2","etmoyer","559135658332524544","105.8","L","Pnewport","694581224353632256","110.74","W"
"2023","2","LukeColbeck","626798676303499264","135.14","L","jackpotFTW","559132295743279104","148.46","W"
"2023","3","Danthecan","517079980760150016","142.16","W","ComradeCMP","559210519766609920","130.6","L"
"2023","3","ekortman","559134002064789504","110.16","W","jackpotFTW","559132295743279104","101.42","L"
"2023","3","PhillyBooBird","559133018459394048","128.78","W","THESMASH","559193893851738112","125.08","L"
"2023","3","etmoyer","559135658332524544","177.66","L","Mummanator","560265743531290624","185.54","W"
"2023","3","LukeColbeck","626798676303499264","169.46","W","Pnewport","694581224353632256","104.96","L"
"2023","4","Danthecan","517079980760150016","107.28","L","etmoyer","559135658332524544","185.96","W"
"2023","4","ekortman","559134002064789504","80.2","L","Pnewport","694581224353632256","139.1","W"
"2023","4","PhillyBooBird","559133018459394048","126.46","W","Mummanator","560265743531290624","124.42","L"
"2023","4","ComradeCMP","559210519766609920","132.98","L","LukeColbeck","626798676303499264","164.98","W"
"2023","4","jackpotFTW","559132295743279104","98.2","L","THESMASH","559193893851738112","126.62","W"
"2023","5","Danthecan","517079980760150016","137.62","W","jackpotFTW","559132295743279104","93.86","L"
"2023","5","ekortman","559134002064789504","93.02","L","ComradeCMP","559210519766609920","116.48","W"
"2023","5","PhillyBooBird","559133018459394048","130.12","L","Pnewport","694581224353632256","142.68","W"
"2023","5","etmoyer","559135658332524544","186.54","W","THESMASH","559193893851738112","133.14","L"
"2023","5","LukeColbeck","626798676303499264","173.5","W","Mummanator","560265743531290624","149.14","L"
"2023","6","Danthecan","517079980760150016","142.38","W","ekortman","559134002064789504","124.04","L"
"2023","6","PhillyBooBird","559133018459394048","107.6","L","etmoyer","559135658332524544","143.5","W"
"2023","6","ComradeCMP","559210519766609920","102.98","L","Pnewport","694581224353632256","139.42","W"
"2023","6","LukeColbeck","626798676303499264","108.54","L","THESMASH","559193893851738112","121.24","W"
"2023","6","jackpotFTW","559132295743279104","140.46","W","Mummanator","560265743531290624","114.32","L"
"2023","7","Danthecan","517079980760150016","111.54","L","Pnewport","694581224353632256","130.18","W"
"2023","7","ekortman","559134002064789504","152.16","L","THESMASH","559193893851738112","154.66","W"
"2023","7","PhillyBooBird","559133018459394048","118.56","W","jackpotFTW","559132295743279104","117.2","L"
"2023","7","ComradeCMP","559210519766609920","120.56","W","Mummanator","560265743531290624","116.46","L"
"2023","7","etmoyer","559135658332524544","163.22","W","LukeColbeck","626798676303499264","160.66","L"
"2023","8","Danthecan","517079980760150016","126.66","L","Mummanator","560265743531290624","143.68","W"
"2023","8","ekortman","559134002064789504","131.56","L","etmoyer","559135658332524544","178.32","W"
"2023","8","PhillyBooBird","559133018459394048","150.36","W","LukeColbeck","626798676303499264","134.78","L"
"2023","8","ComradeCMP","559210519766609920","83.52","L","jackpotFTW","559132295743279104","154.96","W"
"2023","8","Pnewport","694581224353632256","118.6","L","THESMASH","559193893851738112","139.8","W"
"2023","9","Danthecan","517079980760150016","116.52","L","LukeColbeck","626798676303499264","140.22","W"
"2023","9","ekortman","559134002064789504","130.06","L","PhillyBooBird","559133018459394048","154.68","W"
"2023","9","ComradeCMP","559210519766609920","101.74","L","etmoyer","559135658332524544","118.62","W"
"2023","9","jackpotFTW","559132295743279104","145.82","W","Pnewport","694581224353632256","91.84","L"
"2023","9","THESMASH","559193893851738112","123.5","W","Mummanator","560265743531290624","86.18","L"
"2023","10","Danthecan","517079980760150016","146.96","W","THESMASH","559193893851738112","118.32","L"
"2023","10","ekortman","559134002064789504","165.96","W","LukeColbeck","626798676303499264","123.16","L"
"2023","10","PhillyBooBird","559133018459394048","144.62","W","ComradeCMP","559210519766609920","118.52","L"
"2023","10","etmoyer","559135658332524544","152.48","W","jackpotFTW","559132295743279104","129.28","L"
"2023","10","Pnewport","694581224353632256","162.24","W","Mummanator","560265743531290624","137.42","L"
"2023","11","Danthecan","517079980760150016","137.04","W","PhillyBooBird","559133018459394048","122.5","L"
"2023","11","ekortman","559134002064789504","86.86","L","Mummanator","560265743531290624","162.36","W"
"2023","11","ComradeCMP","559210519766609920","129.6","W","THESMASH","559193893851738112","84.48","L"
"2023","11","etmoyer","559135658332524544","110.24","L","Pnewport","694581224353632256","133.36","W"
"2023","11","LukeColbeck","626798676303499264","137.86","L","jackpotFTW","559132295743279104","139.4","W"
"2023","12","Danthecan","517079980760150016","144.96","W","ComradeCMP","559210519766609920","106.28","L"
"2023","12","ekortman","559134002064789504","106.34","L","jackpotFTW","559132295743279104","188.26","W"
"2023","12","PhillyBooBird","559133018459394048","160.3","W","THESMASH","559193893851738112","120.12","L"
